127.0.0.1 - - [08/Feb/2021:11:44:22 -0500] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [08/Feb/2021:11:44:43 -0500] "GET /StudentmanagementSystem/header.html HTTP/1.1" 200 145
0:0:0:0:0:0:0:1 - - [08/Feb/2021:11:49:07 -0500] "GET /StudentmanagementSystem/header.html HTTP/1.1" 200 145
0:0:0:0:0:0:0:1 - - [08/Feb/2021:11:49:07 -0500] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [08/Feb/2021:11:52:33 -0500] "GET /StudentmanagementSystem/header.html HTTP/1.1" 200 247
0:0:0:0:0:0:0:1 - - [08/Feb/2021:11:53:30 -0500] "GET /StudentmanagementSystem/header.html HTTP/1.1" 200 264
0:0:0:0:0:0:0:1 - - [08/Feb/2021:11:53:41 -0500] "GET /StudentmanagementSystem/header.html HTTP/1.1" 200 264
0:0:0:0:0:0:0:1 - - [08/Feb/2021:11:54:14 -0500] "GET /StudentmanagementSystem/header.html HTTP/1.1" 200 286
0:0:0:0:0:0:0:1 - - [08/Feb/2021:11:54:41 -0500] "GET /StudentmanagementSystem/header.html HTTP/1.1" 200 289
0:0:0:0:0:0:0:1 - - [08/Feb/2021:11:55:03 -0500] "GET /StudentmanagementSystem/header.html HTTP/1.1" 200 289
0:0:0:0:0:0:0:1 - - [08/Feb/2021:11:55:18 -0500] "GET /StudentmanagementSystem/header.html HTTP/1.1" 200 286
0:0:0:0:0:0:0:1 - - [08/Feb/2021:11:57:51 -0500] "GET /StudentmanagementSystem/header.html HTTP/1.1" 200 326
0:0:0:0:0:0:0:1 - - [08/Feb/2021:12:01:11 -0500] "GET /StudentmanagementSystem/header.html HTTP/1.1" 200 604
0:0:0:0:0:0:0:1 - - [08/Feb/2021:12:02:14 -0500] "GET /StudentmanagementSystem/header.html HTTP/1.1" 200 642
0:0:0:0:0:0:0:1 - - [08/Feb/2021:12:02:49 -0500] "GET /StudentmanagementSystem/header.html HTTP/1.1" 200 670
0:0:0:0:0:0:0:1 - - [08/Feb/2021:12:03:24 -0500] "GET /StudentmanagementSystem/header.html HTTP/1.1" 200 689
0:0:0:0:0:0:0:1 - - [08/Feb/2021:12:04:10 -0500] "GET /StudentmanagementSystem/header.html HTTP/1.1" 200 722
0:0:0:0:0:0:0:1 - - [08/Feb/2021:12:04:26 -0500] "GET /StudentmanagementSystem/header.html HTTP/1.1" 200 722
0:0:0:0:0:0:0:1 - - [08/Feb/2021:12:04:52 -0500] "GET /StudentmanagementSystem/header.html HTTP/1.1" 200 739
0:0:0:0:0:0:0:1 - - [08/Feb/2021:12:07:43 -0500] "GET /StudentmanagementSystem/header.html HTTP/1.1" 200 827
0:0:0:0:0:0:0:1 - - [08/Feb/2021:12:08:17 -0500] "GET /StudentmanagementSystem/header.html HTTP/1.1" 200 827
0:0:0:0:0:0:0:1 - - [08/Feb/2021:12:09:33 -0500] "GET /StudentmanagementSystem/header.html HTTP/1.1" 200 827
0:0:0:0:0:0:0:1 - - [08/Feb/2021:12:10:37 -0500] "GET /StudentmanagementSystem/header.html HTTP/1.1" 200 871
0:0:0:0:0:0:0:1 - - [08/Feb/2021:12:11:05 -0500] "GET /StudentmanagementSystem/header.html HTTP/1.1" 200 872
0:0:0:0:0:0:0:1 - - [08/Feb/2021:12:11:40 -0500] "GET /StudentmanagementSystem/header.html HTTP/1.1" 200 873
0:0:0:0:0:0:0:1 - - [08/Feb/2021:12:12:11 -0500] "GET /StudentmanagementSystem/header.html HTTP/1.1" 200 873
0:0:0:0:0:0:0:1 - - [08/Feb/2021:12:16:44 -0500] "GET /StudentmanagementSystem/header.html HTTP/1.1" 200 932
0:0:0:0:0:0:0:1 - - [08/Feb/2021:12:16:46 -0500] "GET /StudentmanagementSystem/header.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2021:12:17:01 -0500] "GET /StudentmanagementSystem/header.html HTTP/1.1" 200 933
0:0:0:0:0:0:0:1 - - [08/Feb/2021:12:17:02 -0500] "GET /StudentmanagementSystem/header.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2021:12:19:34 -0500] "GET /StudentmanagementSystem/header.html HTTP/1.1" 200 941
0:0:0:0:0:0:0:1 - - [08/Feb/2021:12:21:23 -0500] "GET /StudentmanagementSystem/header.html HTTP/1.1" 200 922
0:0:0:0:0:0:0:1 - - [08/Feb/2021:12:22:30 -0500] "GET /StudentmanagementSystem/header.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2021:12:24:19 -0500] "GET /StudentmanagementSystem/header.html HTTP/1.1" 200 963
0:0:0:0:0:0:0:1 - - [08/Feb/2021:12:24:46 -0500] "GET /StudentmanagementSystem/header.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2021:12:24:47 -0500] "GET /StudentmanagementSystem/header.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2021:12:24:54 -0500] "GET /StudentmanagementSystem/header.html HTTP/1.1" 200 964
0:0:0:0:0:0:0:1 - - [08/Feb/2021:12:29:00 -0500] "GET /StudentmanagementSystem/header.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2021:12:29:22 -0500] "GET /StudentmanagementSystem/footer.html HTTP/1.1" 200 180
0:0:0:0:0:0:0:1 - - [08/Feb/2021:12:29:35 -0500] "GET /StudentmanagementSystem/footer.html HTTP/1.1" 200 180
0:0:0:0:0:0:0:1 - - [08/Feb/2021:12:31:04 -0500] "GET /StudentmanagementSystem/footer.html HTTP/1.1" 200 271
0:0:0:0:0:0:0:1 - - [08/Feb/2021:12:31:56 -0500] "GET /StudentmanagementSystem/footer.html HTTP/1.1" 200 299
0:0:0:0:0:0:0:1 - - [08/Feb/2021:12:32:59 -0500] "GET /StudentmanagementSystem/footer.html HTTP/1.1" 200 315
0:0:0:0:0:0:0:1 - - [08/Feb/2021:12:34:30 -0500] "GET /StudentmanagementSystem/footer.html HTTP/1.1" 200 359
0:0:0:0:0:0:0:1 - - [08/Feb/2021:12:34:57 -0500] "GET /StudentmanagementSystem/footer.html HTTP/1.1" 200 373
0:0:0:0:0:0:0:1 - - [08/Feb/2021:12:45:22 -0500] "GET /StudentmanagementSystem/admin-home.jsp HTTP/1.1" 200 1528
0:0:0:0:0:0:0:1 - - [08/Feb/2021:12:45:32 -0500] "GET /StudentmanagementSystem/admin-home.jsp HTTP/1.1" 200 1528
0:0:0:0:0:0:0:1 - - [08/Feb/2021:13:04:07 -0500] "GET /StudentmanagementSystem/admin-home.jsp HTTP/1.1" 404 744
0:0:0:0:0:0:0:1 - - [08/Feb/2021:13:04:37 -0500] "GET /StudentmanagementSystem/admin_home.jsp HTTP/1.1" 200 1544
0:0:0:0:0:0:0:1 - - [08/Feb/2021:13:04:49 -0500] "GET /StudentmanagementSystem/add_student.jsp HTTP/1.1" 200 2270
0:0:0:0:0:0:0:1 - - [08/Feb/2021:13:07:15 -0500] "GET /StudentmanagementSystem/add_student.jsp HTTP/1.1" 200 2373
